Sample	Depht	age	I	Sed.rate [cm/Ma]	C37.4	C37/C38	Uk37/Uk37'	UK37i.SST	C37:4 Me 	C37:3 Me 	C37:2 Me 	C38:4 Me	C38:3 Et	C38:3 Me	C38:2Et	C38:2Me	C39:3 Et	C39:3 Me	C39:2 Et 	C39:2 Me 
MC34	1395	5.1786	454.118942	6824.7	2.626459144	1.53	0.921397938	16.55	1.436424898	26.52952651	26.72459656	2.97925164	0.035467281	3.156588048	24.52562511	4.983153041	1.436424898	0.620677425	6.632381628	0.939882958
MC33 	1355	5.1957	463.521548	7274.6	2.426470588	1	0.936862944	19.21	1.050435029	15.87324043	26.36698026	1.743651411	0.495154559	2.104406876	31.67220768	7.197425196	0.820541841	1.227275943	8.643983872	2.804696895
MC31	1275	5.23	473.124486	8512.5	3.381869422	0.95	0.919114287	21.25	1.479806803	11.90011304	30.37714521	1.973075737	0.873497071	3.637858391	32.65851403	6.957147261	0.688521221	0.729626965	7.450416196	1.27427808
MC29	1215	5.2577	485.04653	10124.3	4.768392371	0.77	0.883271927	20.64	1.770135289	10.93690732	24.41522316	3.755215577	3.843722342	9.672524972	25.86926287	5.247186749	1.365532937	0.366670881	11.21507144	1.542546466
MC26	1135	5.292	485.295139	13692.7	7.641837129	1.06	0.774422442	16.78	3.453689168	20.35583464	21.38496424	11.6692831	2.407116693	7.674864818	17.00680272	3.976975406	2.773417059	0.64538636	5.982905983	2.668759812
MC22	1065	5.3076	473.126057	16104.1	5.049954587	1.54	0.834082385	15.04	2.717497556	28.73900293	22.35581623	2.121212121	0.566959922	2.864125122	24.34017595	5.014662757	1.163245357	0.694037146	8.426197458	0.997067449
MC20 	1050	5.3109	498.368992	16795.2	1.904112591	0.82	0.959650268	25.53	0.727523072	3.988352188	33.49211075	0.34980649	0.069775231	1.328520393	36.05239655	8.978676689	1.76205716	1.251302471	9.659682941	2.33979607
MC19	1045	5.312	503.331715	17044.3	2.29344901	1.16	0.937944522	18.4	1.084335061	19.11354184	27.08179039	0.814675554	3.554947872	2.172468144	26.90898042	7.472606772	1.002677605	0.843160713	8.615811162	1.335004463
MC18 	1040	5.316	484.01	18286.5	3.265449438	0.97	0.928031682	23.88	1.447245565	7.262164125	35.61054051	1.219006121	0.378669987	0.829961614	34.83763876	8.252930802	0.804025314	0.726216412	7.53190165	1.099699139
MC16	1030	5.324	450.069273	21466.7	6.890906385	1.04	0.809484419	17.98	3.046052632	17.83552632	23.32236842	2.322368421	2.131578947	7.723684211	24.51973684	5.611842105	1.993421053	1.631578947	8.157894737	1.703947368
