Id,ele,slope,spi,tri,twi,plc,prc,CS_perc,litho_13,litho_14,litho_15,litho_16,litho_18,litho_19,litho_22,litho_23,litho_24,litho_25,uso_1,uso_2,uso_3,uso_4,uso_5,uso_6,asp_N,asp_NE,asp_E,asp_SE,asp_S,asp_SW,asp_W,asp_NW
587,229.6368103,26.11680794,601.65802,3.281916142,5.583240032,-0.002453263,-0.012314625,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1606,206.4390259,31.46337128,23.74018669,3.945335865,9.262046814,0.004811454,-0.012247941,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10200,198.8579407,4.957270622,-8403.464844,0.692188084,14.55744743,0.023521688,-0.011342734,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10151,380.6641541,32.96868134,27710.83398,4.288713455,2.199637413,-0.001334855,-0.011103537,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1885,237.8972168,30.39419746,-653.7843018,3.714248896,12.89921951,0.022017347,-0.010899195,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10614,291.3204041,6.0631814,-201.2611694,0.748880625,13.71014977,0.032682009,-0.010282275,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
549,275.7512512,12.63949871,36.62936783,1.529499292,8.82836628,0.009458324,-0.010220045,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10502,284.2671204,27.07881737,-3553.752441,3.363590479,14.15198326,-0.012372726,-0.010086324,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10144,306.9684448,7.531292915,8971.933594,0.958884716,6.910878658,-0.0020469,-0.00991611,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10035,190.4014435,8.047288895,-27585.97852,1.081201315,15.50190926,0.005008888,-0.009912943,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10474,179.5796509,5.588796139,-666.1935425,0.868124664,13.59236717,-0.002848478,-0.009667304,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10539,209.8076477,11.93884182,-435.2019653,1.429668546,13.30468464,0.007153775,-0.009053199,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10310,264.4679871,23.55259895,42798.04688,2.769677877,1.318681359,0.016262714,-0.009035375,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
484,250.9732361,38.89310837,1010.84967,5.140547752,5.064382553,0.006573947,-0.009032709,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10093,216.9958801,11.42777729,-1951.049927,1.455983639,13.71014977,-0.009656359,-0.008956193,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
586,226.0933838,20.08839607,2030.680542,2.411343575,5.486034393,-0.001227019,-0.008496755,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10242,207.5039063,14.18945694,-15285.34668,1.807144523,13.59236717,-0.030333811,-0.008418303,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10372,261.3760986,16.97385216,2541.929932,1.952885747,5.528544426,0.009515452,-0.008296322,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10826,255.8759613,13.09236526,812.7688599,1.590901852,7.788008213,-0.004609557,-0.008222763,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10718,220.2366638,5.816316605,-756.0493164,0.797324479,14.22097588,-0.017631324,-0.008137144,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1924,230.3061981,16.81943703,404.362793,1.9435184,4.594322205,0.011588114,-0.007910816,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
481,258.7758484,35.18795776,218.9360046,4.482824326,6.018785477,0.006289835,-0.007759176,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10116,193.2887268,19.72426796,718.0325928,2.283005476,6.217344284,0.011089175,-0.007749421,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10885,242.658493,13.39634323,1093.372803,1.526966333,6.818488121,0.010787453,-0.007378805,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10010,268.0226746,20.37284088,2103.175537,2.383649349,1.559136748,0.007806662,-0.007376915,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10229,241.6007538,17.10099983,3896.334229,1.954432011,4.834369183,0.013302348,-0.007140532,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1614,220.947998,35.58509445,1159.29248,4.573408127,6.046595573,0.000920728,-0.007095105,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10952,259.078064,10.95236969,13878.76855,1.251838207,3.255743742,0.00820594,-0.007066559,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1918,204.1441193,19.37512779,405.9888611,2.287197351,7.095835209,0.000474305,-0.006962582,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10926,249.9555664,6.379247189,597.4224243,0.963925242,11.07198429,-0.031741198,-0.006728644,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10634,198.6575012,2.343487978,-1846.334717,0.366039038,14.40329742,0.024246987,-0.006560142,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10339,251.8983917,6.330096722,1450.626953,1.040258765,13.39727211,-0.061298061,-0.006528034,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1927,233.3501587,15.96262932,312.3818054,1.844820023,8.435927391,0.000237228,-0.006477186,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10443,198.2220154,6.870622635,865.6055908,0.871230483,7.576809883,2.30935E-05,-0.006463531,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10778,243.6458435,28.61841011,179.1649017,3.482650995,7.240909576,0.000255986,-0.006423008,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1597,201.846817,32.25267029,443.3398743,4.013339996,5.888592243,0.004035506,-0.006292016,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10391,213.3684387,15.77659225,54.98954773,1.938650131,9.362080574,-0.019445388,-0.006209225,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1580,258.1176453,20.53075218,-9021.146484,2.381409645,13.81551075,0.005260117,-0.006107409,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10092,217.3921051,23.54684067,66201.5625,2.801003456,2.715051174,0.00073985,-0.005940406,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1960,198.8368683,31.77390289,149.6376953,3.928712368,6.974711895,0.005728742,-0.005900982,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10785,198.1296082,3.965275526,223273.2813,0.646631896,12.16286278,-0.023776885,-0.005882631,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1801,233.6485901,19.9579277,3611.034668,2.341210365,6.799334526,-0.004054057,-0.005681344,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
413,323.5212708,22.82703972,221.2902985,2.690878391,5.19715929,0.010386628,-0.005663586,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10813,208.8379364,7.464234829,6816.649902,0.896237612,7.047626019,-0.012936399,-0.005656026,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10290,268.7653503,15.35478592,-442.3600769,1.799361467,13.9978323,-0.014778996,-0.005651075,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10122,246.9181824,5.292109489,-3818.140137,0.681871414,14.73180103,-0.014596264,-0.005627696,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10287,274.757019,15.10421753,-275.8599548,1.709930182,12.89921951,0.015805975,-0.005590982,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10410,218.1425476,15.42592812,-376.6867676,1.766986847,14.07787514,0.001321577,-0.005557553,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10062,226.7890167,12.80509567,462.3950806,1.478805423,8.962799072,0.000702538,-0.005523599,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
538,277.0641479,20.56401634,-2765.091064,2.384026527,12.89921951,0.003905786,-0.005379108,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10429,190.7005157,10.33691788,1938.098999,1.191997886,7.056977749,0.004944531,-0.005366351,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
490,224.4214935,29.3413372,1451.279419,3.595700979,6.089022636,0.002070769,-0.005336884,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10819,296.9879456,14.93563175,-1656.143921,1.731281877,14.34613895,-0.003770184,-0.005321163,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10890,254.036438,7.408763885,16975.06641,0.866207242,8.259737968,0.015521444,-0.005263078,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10989,240.9587402,15.13855839,-640.1292725,1.728760958,13.81551075,0.002875274,-0.005252369,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10078,270.6679382,12.49915504,-53.85358429,1.418556452,13.59236717,0.005393466,-0.005123501,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1503,238.2901459,28.96196175,410.677948,3.538255453,6.411406994,0.003916089,-0.005069629,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
